Postcode,year,total_fleet,bev_count,adoption_rate,SA2_CODE21,SA2_NAME21,STE_NAME21
2035,2023,19367,125.0,0.006454277895389064,118021568,Maroubra - West,New South Wales
2035,2024,19774,268.0,0.013553150601800344,118021568,Maroubra - West,New South Wales
2035,2025,19992,364.0,0.018207282913165267,118021568,Maroubra - West,New South Wales
2036,2021,19177,27.0,0.0014079365907076185,118021653,Matraville - Chifley,New South Wales
2036,2022,19724,45.0,0.002281484485905496,118021653,Matraville - Chifley,New South Wales
2036,2023,20135,109.0,0.005413459150732556,118021653,Matraville - Chifley,New South Wales
2036,2024,20582,225.0,0.010931882227188806,118021653,Matraville - Chifley,New South Wales
2036,2025,20962,333.0,0.01588588875107337,118021653,Matraville - Chifley,New South Wales
2037,2021,7390,25.0,0.0033829499323410014,117031331,Glebe - Forest Lodge,New South Wales
2037,2022,7591,41.0,0.005401132920563825,117031331,Glebe - Forest Lodge,New South Wales
2037,2023,7689,69.0,0.008973858759266484,117031331,Glebe - Forest Lodge,New South Wales
2037,2024,7723,147.0,0.01903405412404506,117031331,Glebe - Forest Lodge,New South Wales
2037,2025,7803,190.0,0.02434960912469563,117031331,Glebe - Forest Lodge,New South Wales
2038,2021,4992,13.0,0.0026041666666666665,120021674,Annandale (NSW),New South Wales
2038,2022,5031,23.0,0.0045716557344464325,120021674,Annandale (NSW),New South Wales
2038,2023,4975,43.0,0.00864321608040201,120021674,Annandale (NSW),New South Wales
2038,2024,5075,103.0,0.020295566502463055,120021674,Annandale (NSW),New South Wales
2038,2025,5143,156.0,0.03033249076414544,120021674,Annandale (NSW),New South Wales
2039,2021,5410,5.0,0.0009242144177449168,120021389,Lilyfield - Rozelle,New South Wales
2039,2022,5392,18.0,0.0033382789317507417,120021389,Lilyfield - Rozelle,New South Wales
2039,2023,5368,48.0,0.00894187779433681,120021389,Lilyfield - Rozelle,New South Wales
2039,2024,5718,93.0,0.01626442812172088,120021389,Lilyfield - Rozelle,New South Wales
2039,2025,5848,150.0,0.025649794801641587,120021389,Lilyfield - Rozelle,New South Wales
2040,2021,13071,16.0,0.0012240838497437074,120021675,Leichhardt,New South Wales
2040,2022,13077,37.0,0.0028293951212051693,120021675,Leichhardt,New South Wales
2040,2023,13053,89.0,0.006818355933501877,120021675,Leichhardt,New South Wales
2040,2024,13234,186.0,0.014054707571406982,120021675,Leichhardt,New South Wales
2040,2025,13671,378.0,0.027649769585253458,120021675,Leichhardt,New South Wales
2041,2021,8828,22.0,0.0024920706841866785,120021387,Balmain,New South Wales
2041,2022,8805,59.0,0.006700738216922204,120021387,Balmain,New South Wales
2041,2023,8805,107.0,0.012152186257808064,120021387,Balmain,New South Wales
2041,2024,8853,197.0,0.02225234383824692,120021387,Balmain,New South Wales
2041,2025,8890,277.0,0.031158605174353204,120021387,Balmain,New South Wales
2042,2021,7474,9.0,0.001204174471501204,117031640,Newtown (NSW),New South Wales
2042,2022,7672,20.0,0.0026068821689259644,117031640,Newtown (NSW),New South Wales
2042,2023,7500,43.0,0.005733333333333333,117031640,Newtown (NSW),New South Wales
2042,2024,7693,103.0,0.01338879500844924,117031640,Newtown (NSW),New South Wales
2042,2025,7690,183.0,0.023797139141742522,117031640,Newtown (NSW),New South Wales
2043,2021,3742,8.0,0.002137894174238375,117031330,Erskineville - Alexandria,New South Wales
2043,2022,3936,16.0,0.0040650406504065045,117031330,Erskineville - Alexandria,New South Wales
2043,2023,4076,33.0,0.008096172718351325,117031330,Erskineville - Alexandria,New South Wales
2043,2024,4154,62.0,0.014925373134328358,117031330,Erskineville - Alexandria,New South Wales
2043,2025,4080,97.0,0.023774509803921567,117031330,Erskineville - Alexandria,New South Wales
2044,2021,5326,6.0,0.0011265490048817123,117021328,Sydenham - Tempe - St Peters,New South Wales
